#2016/06 Number Pass = 152 (100.000%)
                     file                  time    pass    total5   exptime
  NUV20160629_233522.fits   2016/06/29T23:35:22       1        79      5.02
  NUV20160629_233608.fits   2016/06/29T23:36:08       1        48     30.02
  NUV20160629_233953.fits   2016/06/29T23:39:53       1        11      0.05
  NUV20160629_234005.fits   2016/06/29T23:40:05       1        65      1.02
  NUV20160629_234022.fits   2016/06/29T23:40:22       1        86      5.02
  NUV20160629_234108.fits   2016/06/29T23:41:08       1        49     30.02
  NUV20160629_234453.fits   2016/06/29T23:44:53       1        13      0.05
  NUV20160629_234505.fits   2016/06/29T23:45:05       1        16      1.02
  NUV20160629_234522.fits   2016/06/29T23:45:22       1        24      5.02
  NUV20160629_234608.fits   2016/06/29T23:46:08       1        24     30.02
  NUV20160629_234953.fits   2016/06/29T23:49:53       1         6      0.05
  NUV20160629_235005.fits   2016/06/29T23:50:05       1        11      1.02
  NUV20160629_235022.fits   2016/06/29T23:50:22       1        27      5.02
  NUV20160629_235108.fits   2016/06/29T23:51:08       1        28     30.02
  NUV20160629_235453.fits   2016/06/29T23:54:53       1         7      0.05
  NUV20160629_235505.fits   2016/06/29T23:55:05       1         5      1.02
  NUV20160629_235522.fits   2016/06/29T23:55:22       1        22      5.02
  NUV20160629_235608.fits   2016/06/29T23:56:08       1        25     30.02
  NUV20160629_235953.fits   2016/06/29T23:59:53       1         5      0.05
  NUV20160630_000005.fits   2016/06/30T00:00:05       1        39      1.02
  NUV20160630_000022.fits   2016/06/30T00:00:22       1        30      5.02
  NUV20160630_000108.fits   2016/06/30T00:01:08       1        29     30.02
  NUV20160630_000453.fits   2016/06/30T00:04:53       1        34      0.05
  NUV20160630_000505.fits   2016/06/30T00:05:05       1        82      1.02
  NUV20160630_000522.fits   2016/06/30T00:05:22       1        67      5.02
  NUV20160630_000608.fits   2016/06/30T00:06:08       1        33     30.02
  NUV20160630_000953.fits   2016/06/30T00:09:53       1        34      0.05
  NUV20160630_001005.fits   2016/06/30T00:10:05       1        60      1.02
  NUV20160630_001022.fits   2016/06/30T00:10:22       1        87      5.02
  NUV20160630_001108.fits   2016/06/30T00:11:08       1        37     30.02
  NUV20160630_001453.fits   2016/06/30T00:14:53       1        27      0.05
  NUV20160630_001505.fits   2016/06/30T00:15:05       1       115      1.02
  NUV20160630_001522.fits   2016/06/30T00:15:22       1        51      5.02
  NUV20160630_001608.fits   2016/06/30T00:16:08       1        43     30.02
  NUV20160630_001953.fits   2016/06/30T00:19:53       1        14      0.05
  NUV20160630_002005.fits   2016/06/30T00:20:05       1       109      1.02
  NUV20160630_002022.fits   2016/06/30T00:20:22       1        62      5.02
  NUV20160630_002108.fits   2016/06/30T00:21:08       1        48     30.02
  NUV20160630_002453.fits   2016/06/30T00:24:53       1        23      0.05
  NUV20160630_002505.fits   2016/06/30T00:25:05       1        90      1.02
  NUV20160630_002522.fits   2016/06/30T00:25:22       1        52      5.02
  NUV20160630_002608.fits   2016/06/30T00:26:08       1        50     30.02
  NUV20160630_002953.fits   2016/06/30T00:29:53       1        38      0.05
  NUV20160630_003005.fits   2016/06/30T00:30:05       1        43      1.02
  NUV20160630_003022.fits   2016/06/30T00:30:22       1        33      5.02
  NUV20160630_003108.fits   2016/06/30T00:31:08       1        35     30.02
  NUV20160630_003453.fits   2016/06/30T00:34:53       1         9      0.05
  NUV20160630_003505.fits   2016/06/30T00:35:05       1        36      1.02
  NUV20160630_003522.fits   2016/06/30T00:35:22       1        34      5.02
  NUV20160630_003608.fits   2016/06/30T00:36:08       1        27     30.02
  NUV20160630_003953.fits   2016/06/30T00:39:53       1        13      0.05
  NUV20160630_004005.fits   2016/06/30T00:40:05       1        22      1.02
  NUV20160630_004022.fits   2016/06/30T00:40:22       1        27      5.02
  NUV20160630_004108.fits   2016/06/30T00:41:08       1        31     30.02
  NUV20160630_004453.fits   2016/06/30T00:44:53       1         4      0.05
  NUV20160630_004505.fits   2016/06/30T00:45:05       1        16      1.02
  NUV20160630_004522.fits   2016/06/30T00:45:22       1        29      5.02
  NUV20160630_004608.fits   2016/06/30T00:46:08       1        34     30.02
  NUV20160630_004953.fits   2016/06/30T00:49:53       1         8      0.05
  NUV20160630_005005.fits   2016/06/30T00:50:05       1        39      1.02
  NUV20160630_005022.fits   2016/06/30T00:50:22       1        31      5.02
  NUV20160630_005108.fits   2016/06/30T00:51:08       1        28     30.02
