#2015/08 Number Pass = 76 (100.000%)
                               file                  time    pass    total5   exptime
            NUV20150826_232727.fits   2015/08/26T23:27:27       1         8      0.05
            NUV20150826_232740.fits   2015/08/26T23:27:40       1        30      1.02
            NUV20150826_232757.fits   2015/08/26T23:27:57       1        28      5.02
            NUV20150826_232843.fits   2015/08/26T23:28:43       1        42     30.02
            NUV20150826_233227.fits   2015/08/26T23:32:27       1         9      0.05
            NUV20150826_233240.fits   2015/08/26T23:32:40       1        36      1.02
            NUV20150826_233257.fits   2015/08/26T23:32:57       1        43      5.02
            NUV20150826_233343.fits   2015/08/26T23:33:43       1        49     30.02
            NUV20150826_233727.fits   2015/08/26T23:37:27       1        18      0.05
            NUV20150826_233740.fits   2015/08/26T23:37:40       1        83      1.02
            NUV20150826_233757.fits   2015/08/26T23:37:57       1        66      5.02
            NUV20150826_233843.fits   2015/08/26T23:38:43       1        54     30.02
            NUV20150826_234228.fits   2015/08/26T23:42:28       1        17      0.05
            NUV20150826_234240.fits   2015/08/26T23:42:40       1        83      1.02
            NUV20150826_234257.fits   2015/08/26T23:42:57       1        50      5.02
            NUV20150826_234343.fits   2015/08/26T23:43:43       1        26     30.02
            NUV20150826_234727.fits   2015/08/26T23:47:27       1        20      0.05
            NUV20150826_234740.fits   2015/08/26T23:47:40       1        79      1.02
            NUV20150826_234757.fits   2015/08/26T23:47:57       1        65      5.02
            NUV20150826_234843.fits   2015/08/26T23:48:43       1        26     30.02
            NUV20150826_235227.fits   2015/08/26T23:52:27       1        15      0.05
            NUV20150826_235240.fits   2015/08/26T23:52:40       1        88      1.02
            NUV20150826_235257.fits   2015/08/26T23:52:57       1        65      5.02
            NUV20150826_235343.fits   2015/08/26T23:53:43       1        41     30.02
            NUV20150826_235728.fits   2015/08/26T23:57:28       1        22      0.05
            NUV20150826_235740.fits   2015/08/26T23:57:40       1        47      1.02
            NUV20150826_235757.fits   2015/08/26T23:57:57       1        54      5.02
            NUV20150826_235843.fits   2015/08/26T23:58:43       1        35     30.02
            NUV20150827_000228.fits   2015/08/27T00:02:28       1         9      0.05
            NUV20150827_000240.fits   2015/08/27T00:02:40       1        30      1.02
            NUV20150827_000257.fits   2015/08/27T00:02:57       1        35      5.02
            NUV20150827_000343.fits   2015/08/27T00:03:43       1        36     30.02
            NUV20150827_000728.fits   2015/08/27T00:07:28       1        37      0.05
            NUV20150827_000740.fits   2015/08/27T00:07:40       1        73      1.02
            NUV20150827_000757.fits   2015/08/27T00:07:57       1        31      5.02
            NUV20150827_000843.fits   2015/08/27T00:08:43       1        42     30.02
            NUV20150827_001227.fits   2015/08/27T00:12:27       1        11      0.05
            NUV20150827_001240.fits   2015/08/27T00:12:40       1        51      1.02
            NUV20150827_001257.fits   2015/08/27T00:12:57       1        23      5.02
            NUV20150827_001343.fits   2015/08/27T00:13:43       1        35     30.02
            NUV20150827_001728.fits   2015/08/27T00:17:28       1        14      0.05
            NUV20150827_001740.fits   2015/08/27T00:17:40       1        23      1.02
            NUV20150827_001757.fits   2015/08/27T00:17:57       1        29      5.02
            NUV20150827_001843.fits   2015/08/27T00:18:43       1        26     30.02
            NUV20150827_002228.fits   2015/08/27T00:22:28       1        23      0.05
            NUV20150827_002240.fits   2015/08/27T00:22:40       1        41      1.02
            NUV20150827_002257.fits   2015/08/27T00:22:57       1        56      5.02
            NUV20150827_002343.fits   2015/08/27T00:23:43       1        23     30.02
            NUV20150827_002728.fits   2015/08/27T00:27:28       1        65      0.05
            NUV20150827_002740.fits   2015/08/27T00:27:40       1       141      1.02
            NUV20150827_002757.fits   2015/08/27T00:27:57       1        91      5.02
            NUV20150827_002843.fits   2015/08/27T00:28:43       1        53     30.02
            NUV20150827_003227.fits   2015/08/27T00:32:27       1        63      0.05
            NUV20150827_003240.fits   2015/08/27T00:32:40       1        98      1.02
            NUV20150827_003257.fits   2015/08/27T00:32:57       1        59      5.02
            NUV20150827_003343.fits   2015/08/27T00:33:43       1        31     30.02
            NUV20150827_003728.fits   2015/08/27T00:37:28       1        52      0.05
            NUV20150827_003740.fits   2015/08/27T00:37:40       1        82      1.02
            NUV20150827_003757.fits   2015/08/27T00:37:57       1        56      5.02
            NUV20150827_003843.fits   2015/08/27T00:38:43       1        51     30.02
            NUV20150827_004228.fits   2015/08/27T00:42:28       1        43      0.05
            NUV20150827_004240.fits   2015/08/27T00:42:40       1        78      1.02
            NUV20150827_004257.fits   2015/08/27T00:42:57       1        47      5.02
            NUV20150827_004343.fits   2015/08/27T00:43:43       1        29     30.02
            NUV20150827_004727.fits   2015/08/27T00:47:27       1         7      0.05
            NUV20150827_004740.fits   2015/08/27T00:47:40       1        85      1.02
            NUV20150827_004757.fits   2015/08/27T00:47:57       1        66      5.02
            NUV20150827_004843.fits   2015/08/27T00:48:43       1        36     30.02
            NUV20150827_005227.fits   2015/08/27T00:52:27       1        10      0.05
            NUV20150827_005240.fits   2015/08/27T00:52:40       1        20      1.02
            NUV20150827_005257.fits   2015/08/27T00:52:57       1        29      5.02
            NUV20150827_005343.fits   2015/08/27T00:53:43       1        36     30.02
            NUV20150827_005727.fits   2015/08/27T00:57:27       1         9      0.05
            NUV20150827_005740.fits   2015/08/27T00:57:40       1        14      1.02
            NUV20150827_005757.fits   2015/08/27T00:57:57       1        26      5.02
            NUV20150827_005843.fits   2015/08/27T00:58:43       1        20     30.02
