#2015/06 Number Pass = 68 (89.4737%)
                               file                  time    pass    total5   exptime
            NUV20150603_202245.fits   2015/06/03T20:22:45       0      3807      0.11
            NUV20150603_202257.fits   2015/06/03T20:22:57       0      8362      1.04
            NUV20150603_202314.fits   2015/06/03T20:23:14       0      2900      5.02
            NUV20150603_202400.fits   2015/06/03T20:24:00       0       683     30.02
            NUV20150603_202745.fits   2015/06/03T20:27:45       0      4063      0.05
            NUV20150603_202757.fits   2015/06/03T20:27:57       0      7541      1.02
            NUV20150603_202814.fits   2015/06/03T20:28:14       0      2360      5.02
            NUV20150603_202900.fits   2015/06/03T20:29:00       0       694     30.02
            NUV20150603_203245.fits   2015/06/03T20:32:45       1        40      0.05
            NUV20150603_203257.fits   2015/06/03T20:32:57       1        48      1.02
            NUV20150603_203314.fits   2015/06/03T20:33:14       1        36      5.02
            NUV20150603_203400.fits   2015/06/03T20:34:00       1        38     30.02
            NUV20150603_203745.fits   2015/06/03T20:37:45       1        47      0.05
            NUV20150603_203757.fits   2015/06/03T20:37:57       1        81      1.02
            NUV20150603_203814.fits   2015/06/03T20:38:14       1        87      5.02
            NUV20150603_203900.fits   2015/06/03T20:39:00       1        62     30.02
            NUV20150603_204245.fits   2015/06/03T20:42:45       1        32      0.05
            NUV20150603_204257.fits   2015/06/03T20:42:57       1        69      1.02
            NUV20150603_204314.fits   2015/06/03T20:43:14       1        58      5.02
            NUV20150603_204400.fits   2015/06/03T20:44:00       1        34     30.02
            NUV20150603_204745.fits   2015/06/03T20:47:45       1        33      0.05
            NUV20150603_204757.fits   2015/06/03T20:47:57       1        44      1.02
            NUV20150603_204814.fits   2015/06/03T20:48:14       1        83      5.02
            NUV20150603_204900.fits   2015/06/03T20:49:00       1        53     30.02
            NUV20150603_205245.fits   2015/06/03T20:52:45       1        18      0.05
            NUV20150603_205257.fits   2015/06/03T20:52:57       1        47      1.02
            NUV20150603_205314.fits   2015/06/03T20:53:14       1        75      5.02
            NUV20150603_205400.fits   2015/06/03T20:54:00       1        48     30.02
            NUV20150603_205745.fits   2015/06/03T20:57:45       1        41      0.05
            NUV20150603_205757.fits   2015/06/03T20:57:57       1        84      1.02
            NUV20150603_205814.fits   2015/06/03T20:58:14       1        50      5.02
            NUV20150603_205900.fits   2015/06/03T20:59:00       1        38     30.02
            NUV20150603_210245.fits   2015/06/03T21:02:45       1        15      0.05
            NUV20150603_210257.fits   2015/06/03T21:02:57       1        34      1.02
            NUV20150603_210314.fits   2015/06/03T21:03:14       1        47      5.02
            NUV20150603_210400.fits   2015/06/03T21:04:00       1        54     30.02
            NUV20150603_210745.fits   2015/06/03T21:07:45       1         8      0.05
            NUV20150603_210757.fits   2015/06/03T21:07:57       1        50      1.02
            NUV20150603_210814.fits   2015/06/03T21:08:14       1        30      5.02
            NUV20150603_210900.fits   2015/06/03T21:09:00       1        47     30.02
            NUV20150603_211245.fits   2015/06/03T21:12:45       1        10      0.05
            NUV20150603_211257.fits   2015/06/03T21:12:57       1        23      1.02
            NUV20150603_211314.fits   2015/06/03T21:13:14       1        29      5.02
            NUV20150603_211400.fits   2015/06/03T21:14:00       1        50     30.02
            NUV20150603_211745.fits   2015/06/03T21:17:45       1         8      0.05
            NUV20150603_211757.fits   2015/06/03T21:17:57       1        21      1.02
            NUV20150603_211814.fits   2015/06/03T21:18:14       1        42      5.02
            NUV20150603_211900.fits   2015/06/03T21:19:00       1        51     30.02
            NUV20150603_212245.fits   2015/06/03T21:22:45       1        34      0.05
            NUV20150603_212257.fits   2015/06/03T21:22:57       1       106      1.02
            NUV20150603_212314.fits   2015/06/03T21:23:14       1        58      5.02
            NUV20150603_212400.fits   2015/06/03T21:24:00       1        49     30.02
            NUV20150603_212745.fits   2015/06/03T21:27:45       1        14      0.05
            NUV20150603_212757.fits   2015/06/03T21:27:57       1        83      1.02
            NUV20150603_212814.fits   2015/06/03T21:28:14       1        63      5.02
            NUV20150603_212900.fits   2015/06/03T21:29:00       1        56     30.02
            NUV20150603_213245.fits   2015/06/03T21:32:45       1        35      0.05
            NUV20150603_213257.fits   2015/06/03T21:32:57       1        53      1.02
            NUV20150603_213314.fits   2015/06/03T21:33:14       1        78      5.02
            NUV20150603_213400.fits   2015/06/03T21:34:00       1        48     30.02
            NUV20150603_213745.fits   2015/06/03T21:37:45       1        24      0.05
            NUV20150603_213757.fits   2015/06/03T21:37:57       1        54      1.02
            NUV20150603_213814.fits   2015/06/03T21:38:14       1        63      5.02
            NUV20150603_213900.fits   2015/06/03T21:39:00       1        32     30.02
            NUV20150603_214245.fits   2015/06/03T21:42:45       1        25      0.05
            NUV20150603_214257.fits   2015/06/03T21:42:57       1        70      1.02
            NUV20150603_214314.fits   2015/06/03T21:43:14       1        56      5.02
            NUV20150603_214400.fits   2015/06/03T21:44:00       1        44     30.02
            NUV20150603_214745.fits   2015/06/03T21:47:45       1        11      0.05
            NUV20150603_214757.fits   2015/06/03T21:47:57       1        20      1.02
            NUV20150603_214814.fits   2015/06/03T21:48:14       1        29      5.02
            NUV20150603_214900.fits   2015/06/03T21:49:00       1        28     30.02
            NUV20150603_215245.fits   2015/06/03T21:52:45       1        16      0.05
            NUV20150603_215257.fits   2015/06/03T21:52:57       1        18      1.02
            NUV20150603_215314.fits   2015/06/03T21:53:14       1        37      5.02
            NUV20150603_215400.fits   2015/06/03T21:54:00       1        57     30.02
