#2014/04 Number Pass = 76 (100.000%)
                               file                  time    pass    total5   exptime
       NUV20140402_163746_0000.fits   2014/04/02T16:37:46       1         6      0.05
       NUV20140402_163758_0000.fits   2014/04/02T16:37:58       1         9      1.02
       NUV20140402_163815_0000.fits   2014/04/02T16:38:15       1        19      5.02
       NUV20140402_163901_0000.fits   2014/04/02T16:39:01       1        29     30.02
       NUV20140402_164246_0000.fits   2014/04/02T16:42:46       1        29      0.05
       NUV20140402_164258_0000.fits   2014/04/02T16:42:58       1        21      1.02
       NUV20140402_164315_0000.fits   2014/04/02T16:43:15       1        28      5.02
       NUV20140402_164401_0000.fits   2014/04/02T16:44:01       1        38     30.02
       NUV20140402_164746_0000.fits   2014/04/02T16:47:46       1        19      0.05
       NUV20140402_164758_0000.fits   2014/04/02T16:47:58       1        93      1.02
       NUV20140402_164815_0000.fits   2014/04/02T16:48:15       1        92      5.02
       NUV20140402_164901_0000.fits   2014/04/02T16:49:01       1        40     30.02
       NUV20140402_165246_0000.fits   2014/04/02T16:52:46       1        22      0.05
       NUV20140402_165258_0000.fits   2014/04/02T16:52:58       1        72      1.02
       NUV20140402_165315_0000.fits   2014/04/02T16:53:15       1        46      5.02
       NUV20140402_165401_0000.fits   2014/04/02T16:54:01       1        34     30.02
       NUV20140402_165746_0000.fits   2014/04/02T16:57:46       1        23      0.05
       NUV20140402_165758_0000.fits   2014/04/02T16:57:58       1        71      1.02
       NUV20140402_165815_0000.fits   2014/04/02T16:58:15       1        49      5.02
       NUV20140402_165901_0000.fits   2014/04/02T16:59:01       1        32     30.02
       NUV20140402_170246_0000.fits   2014/04/02T17:02:46       1        45      0.05
       NUV20140402_170258_0000.fits   2014/04/02T17:02:58       1        76      1.02
       NUV20140402_170315_0000.fits   2014/04/02T17:03:15       1        52      5.02
       NUV20140402_170401_0000.fits   2014/04/02T17:04:01       1        32     30.02
       NUV20140402_170746_0000.fits   2014/04/02T17:07:46       1        37      0.05
       NUV20140402_170758_0000.fits   2014/04/02T17:07:58       1        69      1.02
       NUV20140402_170815_0000.fits   2014/04/02T17:08:15       1        43      5.02
       NUV20140402_170901_0000.fits   2014/04/02T17:09:01       1        36     30.02
       NUV20140402_171246_0000.fits   2014/04/02T17:12:46       1        22      0.05
       NUV20140402_171258_0000.fits   2014/04/02T17:12:58       1        70      1.02
       NUV20140402_171315_0000.fits   2014/04/02T17:13:15       1        59      5.02
       NUV20140402_171401_0000.fits   2014/04/02T17:14:01       1        39     30.02
       NUV20140402_171746_0000.fits   2014/04/02T17:17:46       1         5      0.05
       NUV20140402_171758_0000.fits   2014/04/02T17:17:58       1        74      1.02
       NUV20140402_171815_0000.fits   2014/04/02T17:18:15       1        46      5.02
       NUV20140402_171901_0000.fits   2014/04/02T17:19:01       1        29     30.02
       NUV20140402_172246_0000.fits   2014/04/02T17:22:46       1        31      0.05
       NUV20140402_172258_0000.fits   2014/04/02T17:22:58       1        19      1.02
       NUV20140402_172315_0000.fits   2014/04/02T17:23:15       1        17      5.02
       NUV20140402_172401_0000.fits   2014/04/02T17:24:01       1        24     30.02
       NUV20140402_172746_0000.fits   2014/04/02T17:27:46       1         9      0.05
       NUV20140402_172758_0000.fits   2014/04/02T17:27:58       1        12      1.02
       NUV20140402_172815_0000.fits   2014/04/02T17:28:15       1        24      5.02
       NUV20140402_172901_0000.fits   2014/04/02T17:29:01       1        25     30.02
       NUV20140402_173246_0000.fits   2014/04/02T17:32:46       1         6      0.05
       NUV20140402_173258_0000.fits   2014/04/02T17:32:58       1         6      1.02
       NUV20140402_173315_0000.fits   2014/04/02T17:33:15       1        26      5.02
       NUV20140402_173401_0000.fits   2014/04/02T17:34:01       1        26     30.02
