#2017/11 Number Pass = 115 (99.1379%)
                               file                  time    pass    total5   exptime
            NUV20171130_003803.fits   2017/11/30T00:38:03       1        95      5.02
            NUV20171130_003850.fits   2017/11/30T00:38:50       1        54     30.02
            NUV20171130_004246.fits   2017/11/30T00:42:46       1        41      0.05
            NUV20171130_004258.fits   2017/11/30T00:42:58       1        86      1.04
            NUV20171130_004304.fits   2017/11/30T00:43:04       1       104      5.02
            NUV20171130_004350.fits   2017/11/30T00:43:50       1        61     30.02
            NUV20171130_004742.fits   2017/11/30T00:47:42       1        52      0.11
            NUV20171130_004751.fits   2017/11/30T00:47:51       1        96      1.04
            NUV20171130_004804.fits   2017/11/30T00:48:04       1        59      5.02
            NUV20171130_004852.fits   2017/11/30T00:48:52       1        58     30.02
            NUV20171130_005243.fits   2017/11/30T00:52:43       1        24      0.11
            NUV20171130_005258.fits   2017/11/30T00:52:58       1       120      1.05
            NUV20171130_005304.fits   2017/11/30T00:53:04       1        95      5.02
            NUV20171130_005350.fits   2017/11/30T00:53:50       1        82     30.02
            NUV20171130_005745.fits   2017/11/30T00:57:45       1        17      0.11
            NUV20171130_005751.fits   2017/11/30T00:57:51       1        78      1.04
            NUV20171130_005803.fits   2017/11/30T00:58:03       1        80      5.02
            NUV20171130_005854.fits   2017/11/30T00:58:54       1        47     30.02
            NUV20171130_010243.fits   2017/11/30T01:02:43       1        26      0.11
            NUV20171130_010250.fits   2017/11/30T01:02:50       1        44      1.05
            NUV20171130_010304.fits   2017/11/30T01:03:04       1        95      5.02
            NUV20171130_010351.fits   2017/11/30T01:03:51       1       109     30.02
            NUV20171130_010747.fits   2017/11/30T01:07:47       1        10      0.06
            NUV20171130_010758.fits   2017/11/30T01:07:58       1        40      1.05
            NUV20171130_010804.fits   2017/11/30T01:08:04       1       107      5.02
            NUV20171130_010850.fits   2017/11/30T01:08:50       1       109     30.02
