#2016/04 Number Pass = 73 (96.0526%)
                               file                  time    pass    total5   exptime
            FUV20160406_230458.fits   2016/04/06T23:04:58       0        10      0.19
            FUV20160406_230511.fits   2016/04/06T23:05:11       1        31      1.03
            FUV20160406_230532.fits   2016/04/06T23:05:32       1        47      5.02
            FUV20160406_230643.fits   2016/04/06T23:06:43       1        43     30.02
            FUV20160406_230958.fits   2016/04/06T23:09:58       1        34      0.13
            FUV20160406_231011.fits   2016/04/06T23:10:11       1        67      1.03
            FUV20160406_231032.fits   2016/04/06T23:10:32       1        61      5.02
            FUV20160406_231143.fits   2016/04/06T23:11:43       1        51     30.02
            FUV20160406_231458.fits   2016/04/06T23:14:58       1        23      0.13
            FUV20160406_231511.fits   2016/04/06T23:15:11       1       109      1.02
            FUV20160406_231532.fits   2016/04/06T23:15:32       1        73      5.02
            FUV20160406_231643.fits   2016/04/06T23:16:43       1        48     30.02
            FUV20160406_231958.fits   2016/04/06T23:19:58       1        79      0.13
            FUV20160406_232011.fits   2016/04/06T23:20:11       1        52      1.03
            FUV20160406_232032.fits   2016/04/06T23:20:32       1        96      5.02
            FUV20160406_232143.fits   2016/04/06T23:21:43       1        46     30.02
            FUV20160406_232458.fits   2016/04/06T23:24:58       1        61      0.13
            FUV20160406_232511.fits   2016/04/06T23:25:11       1        89      1.03
            FUV20160406_232532.fits   2016/04/06T23:25:32       1        77      5.02
            FUV20160406_232643.fits   2016/04/06T23:26:43       1        64     30.02
            FUV20160406_232958.fits   2016/04/06T23:29:58       1        50      0.13
            FUV20160406_233011.fits   2016/04/06T23:30:11       1        96      1.03
            FUV20160406_233032.fits   2016/04/06T23:30:32       1        72      5.02
            FUV20160406_233143.fits   2016/04/06T23:31:43       1        50     30.02
            FUV20160406_233458.fits   2016/04/06T23:34:58       1        13      0.13
            FUV20160406_233511.fits   2016/04/06T23:35:11       1        76      1.03
            FUV20160406_233532.fits   2016/04/06T23:35:32       1        61      5.02
            FUV20160406_233643.fits   2016/04/06T23:36:43       1        61     30.02
            FUV20160406_233958.fits   2016/04/06T23:39:58       1        11      0.13
            FUV20160406_234011.fits   2016/04/06T23:40:11       1        17      1.03
            FUV20160406_234032.fits   2016/04/06T23:40:32       1        42      5.02
            FUV20160406_234143.fits   2016/04/06T23:41:43       1        32     30.02
            FUV20160406_234458.fits   2016/04/06T23:44:58       1         7      0.13
            FUV20160406_234511.fits   2016/04/06T23:45:11       1        21      1.03
            FUV20160406_234532.fits   2016/04/06T23:45:32       1        41      5.02
            FUV20160406_234643.fits   2016/04/06T23:46:43       1        61     30.02
            FUV20160406_234958.fits   2016/04/06T23:49:58       1         5      0.13
            FUV20160406_235011.fits   2016/04/06T23:50:11       1        23      1.02
            FUV20160406_235032.fits   2016/04/06T23:50:32       1        55      5.02
            FUV20160406_235143.fits   2016/04/06T23:51:43       1        51     30.02
            FUV20160406_235458.fits   2016/04/06T23:54:58       1        12      0.13
            FUV20160406_235511.fits   2016/04/06T23:55:11       1        45      1.02
            FUV20160406_235532.fits   2016/04/06T23:55:32       1        54      5.02
            FUV20160406_235643.fits   2016/04/06T23:56:43       1        53     30.02
            FUV20160406_235958.fits   2016/04/06T23:59:58       1        58      0.13
            FUV20160407_000011.fits   2016/04/07T00:00:11       1        71      1.02
            FUV20160407_000032.fits   2016/04/07T00:00:32       1        75      5.02
            FUV20160407_000143.fits   2016/04/07T00:01:43       1        51     30.02
            FUV20160407_000458.fits   2016/04/07T00:04:58       1        31      0.13
            FUV20160407_000511.fits   2016/04/07T00:05:11       1        58      1.03
            FUV20160407_000532.fits   2016/04/07T00:05:32       1        74      5.02
            FUV20160407_000643.fits   2016/04/07T00:06:43       1        57     30.02
            FUV20160407_000958.fits   2016/04/07T00:09:58       1        63      0.13
            FUV20160407_001011.fits   2016/04/07T00:10:11       0       336      1.03
            FUV20160407_001032.fits   2016/04/07T00:10:32       1        81      5.02
            FUV20160407_001143.fits   2016/04/07T00:11:43       1        53     30.02
            FUV20160407_001458.fits   2016/04/07T00:14:58       1        67      0.13
            FUV20160407_001511.fits   2016/04/07T00:15:11       1       196      1.02
            FUV20160407_001532.fits   2016/04/07T00:15:32       1       103      5.02
            FUV20160407_001643.fits   2016/04/07T00:16:43       1        45     30.02
            FUV20160407_001958.fits   2016/04/07T00:19:58       1        48      0.13
            FUV20160407_002011.fits   2016/04/07T00:20:11       1        98      1.03
            FUV20160407_002032.fits   2016/04/07T00:20:32       1        80      5.02
            FUV20160407_002143.fits   2016/04/07T00:21:43       1        30     30.02
            FUV20160407_002458.fits   2016/04/07T00:24:58       0         4      0.13
            FUV20160407_002511.fits   2016/04/07T00:25:11       1       144      1.02
            FUV20160407_002532.fits   2016/04/07T00:25:32       1        43      5.02
            FUV20160407_002643.fits   2016/04/07T00:26:43       1        47     30.02
            FUV20160407_002958.fits   2016/04/07T00:29:58       1         4      0.13
            FUV20160407_003011.fits   2016/04/07T00:30:11       1        28      1.02
            FUV20160407_003032.fits   2016/04/07T00:30:32       1        36      5.02
            FUV20160407_003143.fits   2016/04/07T00:31:43       1        42     30.02
            FUV20160407_003458.fits   2016/04/07T00:34:58       1         9      0.13
            FUV20160407_003511.fits   2016/04/07T00:35:11       1        33      1.03
            FUV20160407_003532.fits   2016/04/07T00:35:32       1        45      5.02
            FUV20160407_003643.fits   2016/04/07T00:36:43       1        42     30.02
