#2015/06 Number Pass = 66 (88.0000%)
                               file                  time    pass    total5   exptime
            FUV20150603_202251.fits   2015/06/03T20:22:51       0      5083      0.13
            FUV20150603_202304.fits   2015/06/03T20:23:04       0      9558      1.02
            FUV20150603_202325.fits   2015/06/03T20:23:25       0      3789      5.02
            FUV20150603_202436.fits   2015/06/03T20:24:36       0       928     30.02
            FUV20150603_202751.fits   2015/06/03T20:27:51       0      4349      0.13
            FUV20150603_202804.fits   2015/06/03T20:28:04       0      7279      1.03
            FUV20150603_202825.fits   2015/06/03T20:28:25       0      3006      5.02
            FUV20150603_202936.fits   2015/06/03T20:29:36       0       720     30.02
            FUV20150603_203251.fits   2015/06/03T20:32:51       1        12      0.13
            FUV20150603_203304.fits   2015/06/03T20:33:04       1       103      1.03
            FUV20150603_203325.fits   2015/06/03T20:33:25       1        72      5.02
            FUV20150603_203436.fits   2015/06/03T20:34:36       1        42     30.02
            FUV20150603_203751.fits   2015/06/03T20:37:51       1        19      0.13
            FUV20150603_203804.fits   2015/06/03T20:38:04       1       150      1.03
            FUV20150603_203825.fits   2015/06/03T20:38:25       1        98      5.02
            FUV20150603_204251.fits   2015/06/03T20:42:51       1        33      0.13
            FUV20150603_204304.fits   2015/06/03T20:43:04       1        84      1.03
            FUV20150603_204325.fits   2015/06/03T20:43:25       1       112      5.02
            FUV20150603_204436.fits   2015/06/03T20:44:36       1        41     30.02
            FUV20150603_204751.fits   2015/06/03T20:47:51       1        49      0.13
            FUV20150603_204804.fits   2015/06/03T20:48:04       1        63      1.03
            FUV20150603_204825.fits   2015/06/03T20:48:25       1        71      5.02
            FUV20150603_204936.fits   2015/06/03T20:49:36       1        44     30.02
            FUV20150603_205251.fits   2015/06/03T20:52:51       1        42      0.13
            FUV20150603_205304.fits   2015/06/03T20:53:04       1       101      1.03
            FUV20150603_205325.fits   2015/06/03T20:53:25       1        76      5.02
            FUV20150603_205436.fits   2015/06/03T20:54:36       1        61     30.02
            FUV20150603_205751.fits   2015/06/03T20:57:51       1        30      0.13
            FUV20150603_205804.fits   2015/06/03T20:58:04       1        68      1.03
            FUV20150603_205825.fits   2015/06/03T20:58:25       1        55      5.02
            FUV20150603_205936.fits   2015/06/03T20:59:36       1        60     30.02
            FUV20150603_210251.fits   2015/06/03T21:02:51       1         7      0.13
            FUV20150603_210304.fits   2015/06/03T21:03:04       1        36      1.03
            FUV20150603_210325.fits   2015/06/03T21:03:25       1        52      5.02
            FUV20150603_210436.fits   2015/06/03T21:04:36       1        41     30.02
            FUV20150603_210751.fits   2015/06/03T21:07:51       1        10      0.13
            FUV20150603_210804.fits   2015/06/03T21:08:04       1        10      1.03
            FUV20150603_210825.fits   2015/06/03T21:08:25       1        44      5.02
            FUV20150603_210936.fits   2015/06/03T21:09:36       1        46     30.02
            FUV20150603_211251.fits   2015/06/03T21:12:51       1        14      0.13
            FUV20150603_211304.fits   2015/06/03T21:13:04       1        12      1.03
            FUV20150603_211325.fits   2015/06/03T21:13:25       1        44      5.02
            FUV20150603_211436.fits   2015/06/03T21:14:36       1        37     30.02
            FUV20150603_211751.fits   2015/06/03T21:17:51       1        13      0.13
            FUV20150603_211804.fits   2015/06/03T21:18:04       1        31      1.03
            FUV20150603_211825.fits   2015/06/03T21:18:25       1        44      5.02
            FUV20150603_211936.fits   2015/06/03T21:19:36       1        35     30.02
            FUV20150603_212251.fits   2015/06/03T21:22:51       1        33      0.13
            FUV20150603_212304.fits   2015/06/03T21:23:04       0        74      1.03
            FUV20150603_212325.fits   2015/06/03T21:23:25       1        74      5.02
            FUV20150603_212436.fits   2015/06/03T21:24:36       1        48     30.02
            FUV20150603_212751.fits   2015/06/03T21:27:51       1        27      0.13
            FUV20150603_212804.fits   2015/06/03T21:28:04       1        90      1.03
            FUV20150603_212825.fits   2015/06/03T21:28:25       1        68      5.02
            FUV20150603_212936.fits   2015/06/03T21:29:36       1        38     30.02
            FUV20150603_213251.fits   2015/06/03T21:32:51       1        24      0.13
            FUV20150603_213304.fits   2015/06/03T21:33:04       1        48      1.03
            FUV20150603_213325.fits   2015/06/03T21:33:25       1        70      5.02
            FUV20150603_213436.fits   2015/06/03T21:34:36       1        50     30.02
            FUV20150603_213751.fits   2015/06/03T21:37:51       1        28      0.13
            FUV20150603_213804.fits   2015/06/03T21:38:04       1        67      1.03
            FUV20150603_213825.fits   2015/06/03T21:38:25       1        56      5.02
            FUV20150603_213936.fits   2015/06/03T21:39:36       1        54     30.02
            FUV20150603_214251.fits   2015/06/03T21:42:51       1        90      0.13
            FUV20150603_214304.fits   2015/06/03T21:43:04       1        81      1.03
            FUV20150603_214325.fits   2015/06/03T21:43:25       1        67      5.02
            FUV20150603_214436.fits   2015/06/03T21:44:36       1        56     30.02
            FUV20150603_214751.fits   2015/06/03T21:47:51       1         9      0.13
            FUV20150603_214804.fits   2015/06/03T21:48:04       1        34      1.03
            FUV20150603_214825.fits   2015/06/03T21:48:25       1        52      5.02
            FUV20150603_214936.fits   2015/06/03T21:49:36       1        48     30.02
            FUV20150603_215251.fits   2015/06/03T21:52:51       1         7      0.13
            FUV20150603_215304.fits   2015/06/03T21:53:04       1        19      1.03
            FUV20150603_215325.fits   2015/06/03T21:53:25       1        49      5.02
            FUV20150603_215436.fits   2015/06/03T21:54:36       1        61     30.02
