#2016/02 Number Pass = 45 (84.9057%)
                               file                  time    pass    total5   exptime
            FUV20160210_065015.fits   2016/02/10T06:50:15       1        75      5.02
            FUV20160210_065126.fits   2016/02/10T06:51:26       1        62     30.02
            FUV20160210_065441.fits   2016/02/10T06:54:41       1        19      0.13
            FUV20160210_065454.fits   2016/02/10T06:54:54       1        64      1.02
            FUV20160210_065515.fits   2016/02/10T06:55:15       1        52      5.02
            FUV20160210_065941.fits   2016/02/10T06:59:41       1         4      0.13
            FUV20160210_065954.fits   2016/02/10T06:59:54       1        23      1.03
            FUV20160210_070015.fits   2016/02/10T07:00:15       1        52      5.02
            FUV20160210_070126.fits   2016/02/10T07:01:26       1        78     30.02
            FUV20160210_070441.fits   2016/02/10T07:04:41       1         9      0.13
            FUV20160210_070454.fits   2016/02/10T07:04:54       1        21      1.03
            FUV20160210_070515.fits   2016/02/10T07:05:15       1        51      5.02
            FUV20160210_070626.fits   2016/02/10T07:06:26       1        52     30.02
            FUV20160210_070941.fits   2016/02/10T07:09:41       1         5      0.13
            FUV20160210_070954.fits   2016/02/10T07:09:54       1        34      1.02
            FUV20160210_071015.fits   2016/02/10T07:10:15       1        60      5.02
            FUV20160210_071126.fits   2016/02/10T07:11:26       1        49     30.02
            FUV20160210_071441.fits   2016/02/10T07:14:41       1        30      0.13
            FUV20160210_071454.fits   2016/02/10T07:14:54       1        89      1.03
            FUV20160210_071515.fits   2016/02/10T07:15:15       1        67      5.02
            FUV20160210_071626.fits   2016/02/10T07:16:26       1        50     30.02
            FUV20160210_071941.fits   2016/02/10T07:19:41       1        24      0.13
            FUV20160210_071954.fits   2016/02/10T07:19:54       1        75      1.02
            FUV20160210_072015.fits   2016/02/10T07:20:15       1        70      5.02
            FUV20160210_072126.fits   2016/02/10T07:21:26       1        58     30.02
            FUV20160210_072441.fits   2016/02/10T07:24:41       1        50      0.13
            FUV20160210_072454.fits   2016/02/10T07:24:54       1        93      1.03
            FUV20160210_072515.fits   2016/02/10T07:25:15       1        93      5.02
            FUV20160210_072626.fits   2016/02/10T07:26:26       1        75     30.02
            FUV20160210_072941.fits   2016/02/10T07:29:41       1        45      0.13
            FUV20160210_072954.fits   2016/02/10T07:29:54       1       129      1.03
            FUV20160210_073015.fits   2016/02/10T07:30:15       1       107      5.02
            FUV20160210_073126.fits   2016/02/10T07:31:26       1        52     30.02
            FUV20160210_073441.fits   2016/02/10T07:34:41       1        44      0.13
            FUV20160210_073454.fits   2016/02/10T07:34:54       1       182      1.02
            FUV20160210_073515.fits   2016/02/10T07:35:15       1       106      5.02
            FUV20160210_073626.fits   2016/02/10T07:36:26       1        66     30.02
            FUV20160210_073941.fits   2016/02/10T07:39:41       1        17      0.13
            FUV20160210_073954.fits   2016/02/10T07:39:54       1        99      1.03
            FUV20160210_074015.fits   2016/02/10T07:40:15       1        71      5.02
            FUV20160210_074126.fits   2016/02/10T07:41:26       1        51     30.02
            FUV20160210_074441.fits   2016/02/10T07:44:41       0      1349      0.13
            FUV20160210_074454.fits   2016/02/10T07:44:54       0      2844      1.03
            FUV20160210_074515.fits   2016/02/10T07:45:15       0      2028      5.02
            FUV20160210_074626.fits   2016/02/10T07:46:26       0       873     30.02
            FUV20160210_074941.fits   2016/02/10T07:49:41       0      1947      0.13
            FUV20160210_074954.fits   2016/02/10T07:49:54       0      3446      1.03
            FUV20160210_075015.fits   2016/02/10T07:50:15       0      1521      5.02
            FUV20160210_075126.fits   2016/02/10T07:51:26       0       411     30.02
            FUV20160210_075441.fits   2016/02/10T07:54:41       1        35      0.13
            FUV20160210_075454.fits   2016/02/10T07:54:54       1        38      1.03
            FUV20160210_075515.fits   2016/02/10T07:55:15       1        79      5.02
            FUV20160210_075626.fits   2016/02/10T07:56:26       1        74     30.02
