#2015/09 Number Pass = 75 (100.000%)
                               file                  time    pass    total5   exptime
            NUV20150924_004951.fits   2015/09/24T00:49:51       1        19      0.05
            NUV20150924_005003.fits   2015/09/24T00:50:03       1        30      1.02
            NUV20150924_005020.fits   2015/09/24T00:50:20       1        24      5.02
            NUV20150924_005106.fits   2015/09/24T00:51:06       1        47     30.02
            NUV20150924_005451.fits   2015/09/24T00:54:51       1         5      0.05
            NUV20150924_005503.fits   2015/09/24T00:55:03       1        23      1.02
            NUV20150924_005520.fits   2015/09/24T00:55:20       1        24      5.02
            NUV20150924_005606.fits   2015/09/24T00:56:06       1        47     30.02
            NUV20150924_005951.fits   2015/09/24T00:59:51       1        20      0.05
            NUV20150924_010003.fits   2015/09/24T01:00:03       1        14      1.02
            NUV20150924_010106.fits   2015/09/24T01:01:06       1        50     30.03
            NUV20150924_010451.fits   2015/09/24T01:04:51       1        13      0.05
            NUV20150924_010503.fits   2015/09/24T01:05:03       1        30      1.02
            NUV20150924_010520.fits   2015/09/24T01:05:20       1        38      5.02
            NUV20150924_010606.fits   2015/09/24T01:06:06       1        35     30.02
            NUV20150924_010951.fits   2015/09/24T01:09:51       1        66      0.05
            NUV20150924_011003.fits   2015/09/24T01:10:03       1       209      1.02
            NUV20150924_011020.fits   2015/09/24T01:10:20       1       107      5.02
            NUV20150924_011106.fits   2015/09/24T01:11:06       1        81     30.02
            NUV20150924_011451.fits   2015/09/24T01:14:51       1        19      0.05
            NUV20150924_011503.fits   2015/09/24T01:15:03       1        80      1.02
            NUV20150924_011520.fits   2015/09/24T01:15:20       1        62      5.02
            NUV20150924_011606.fits   2015/09/24T01:16:06       1        41     30.02
            NUV20150924_011951.fits   2015/09/24T01:19:51       1        44      0.05
            NUV20150924_012003.fits   2015/09/24T01:20:03       1        96      1.02
            NUV20150924_012020.fits   2015/09/24T01:20:20       1        54      5.02
            NUV20150924_012106.fits   2015/09/24T01:21:06       1        34     30.02
            NUV20150924_012451.fits   2015/09/24T01:24:51       1        20      0.05
            NUV20150924_012503.fits   2015/09/24T01:25:03       1        63      1.02
            NUV20150924_012520.fits   2015/09/24T01:25:20       1        66      5.02
            NUV20150924_012606.fits   2015/09/24T01:26:06       1        34     30.02
            NUV20150924_012951.fits   2015/09/24T01:29:51       1        47      0.05
            NUV20150924_013003.fits   2015/09/24T01:30:03       1        89      1.02
            NUV20150924_013020.fits   2015/09/24T01:30:20       1        58      5.02
            NUV20150924_013106.fits   2015/09/24T01:31:06       1        44     30.02
            NUV20150924_013451.fits   2015/09/24T01:34:51       1         8      0.05
            NUV20150924_013503.fits   2015/09/24T01:35:03       1        25      1.02
            NUV20150924_013520.fits   2015/09/24T01:35:20       1        39      5.02
            NUV20150924_013606.fits   2015/09/24T01:36:06       1        46     30.02
            NUV20150924_013951.fits   2015/09/24T01:39:51       1         9      0.05
            NUV20150924_014003.fits   2015/09/24T01:40:03       1        31      1.02
            NUV20150924_014020.fits   2015/09/24T01:40:20       1        33      5.02
            NUV20150924_014106.fits   2015/09/24T01:41:06       1        51     30.02
            NUV20150924_014451.fits   2015/09/24T01:44:51       1         7      0.05
            NUV20150924_014503.fits   2015/09/24T01:45:03       1        19      1.02
            NUV20150924_014520.fits   2015/09/24T01:45:20       1        32      5.02
            NUV20150924_014606.fits   2015/09/24T01:46:06       1        32     30.02
            NUV20150924_014951.fits   2015/09/24T01:49:51       1         6      0.05
            NUV20150924_015003.fits   2015/09/24T01:50:03       1        14      1.02
            NUV20150924_015020.fits   2015/09/24T01:50:20       1        28      5.02
            NUV20150924_015106.fits   2015/09/24T01:51:06       1        41     30.02
            NUV20150924_015451.fits   2015/09/24T01:54:51       1        22      0.05
            NUV20150924_015503.fits   2015/09/24T01:55:03       1        71      1.02
            NUV20150924_015520.fits   2015/09/24T01:55:20       1        65      5.02
            NUV20150924_015606.fits   2015/09/24T01:56:06       1        30     30.02
            NUV20150924_015951.fits   2015/09/24T01:59:51       1        41      0.05
            NUV20150924_020003.fits   2015/09/24T02:00:03       1        75      1.02
            NUV20150924_020020.fits   2015/09/24T02:00:20       1        52      5.02
            NUV20150924_020106.fits   2015/09/24T02:01:06       1        31     30.02
            NUV20150924_020451.fits   2015/09/24T02:04:51       1        19      0.05
            NUV20150924_020503.fits   2015/09/24T02:05:03       1       141      1.02
            NUV20150924_020520.fits   2015/09/24T02:05:20       1        61      5.02
            NUV20150924_020606.fits   2015/09/24T02:06:06       1        59     30.02
            NUV20150924_020951.fits   2015/09/24T02:09:51       1        18      0.05
            NUV20150924_021003.fits   2015/09/24T02:10:03       1       123      1.02
            NUV20150924_021020.fits   2015/09/24T02:10:20       1        64      5.02
            NUV20150924_021106.fits   2015/09/24T02:11:06       1        38     30.02
            NUV20150924_021451.fits   2015/09/24T02:14:51       1        19      0.05
            NUV20150924_021503.fits   2015/09/24T02:15:03       1        85      1.02
            NUV20150924_021520.fits   2015/09/24T02:15:20       1        77      5.02
            NUV20150924_021606.fits   2015/09/24T02:16:06       1        45     30.02
            NUV20150924_021951.fits   2015/09/24T02:19:51       1        14      0.05
            NUV20150924_022003.fits   2015/09/24T02:20:03       1        40      1.02
            NUV20150924_022020.fits   2015/09/24T02:20:20       1        43      5.02
            NUV20150924_022106.fits   2015/09/24T02:21:06       1        37     30.02
