#2016/03 Number Pass = 72 (94.7368%)
                               file                  time    pass    total5   exptime
            NUV20160309_215353.fits   2016/03/09T21:53:53       1        44      0.05
            NUV20160309_215405.fits   2016/03/09T21:54:05       1        77      1.02
            NUV20160309_215422.fits   2016/03/09T21:54:22       1        62      5.02
            NUV20160309_215508.fits   2016/03/09T21:55:08       1        51     30.02
            NUV20160309_215853.fits   2016/03/09T21:58:53       1        23      0.05
            NUV20160309_215905.fits   2016/03/09T21:59:05       1        71      1.02
            NUV20160309_215922.fits   2016/03/09T21:59:22       1        95      5.02
            NUV20160309_220008.fits   2016/03/09T22:00:08       1        40     30.02
            NUV20160309_220353.fits   2016/03/09T22:03:53       1        50      0.05
            NUV20160309_220405.fits   2016/03/09T22:04:05       1        71      1.02
            NUV20160309_220422.fits   2016/03/09T22:04:22       1        87      5.02
            NUV20160309_220508.fits   2016/03/09T22:05:08       1        51     30.02
            NUV20160309_220853.fits   2016/03/09T22:08:53       1        12      0.05
            NUV20160309_220905.fits   2016/03/09T22:09:05       1        38      1.02
            NUV20160309_220922.fits   2016/03/09T22:09:22       1        40      5.02
            NUV20160309_221008.fits   2016/03/09T22:10:08       1        42     30.02
            NUV20160309_221353.fits   2016/03/09T22:13:53       1        15      0.05
            NUV20160309_221405.fits   2016/03/09T22:14:05       1        13      1.02
            NUV20160309_221422.fits   2016/03/09T22:14:22       1        28      5.02
            NUV20160309_221508.fits   2016/03/09T22:15:08       1        32     30.02
            NUV20160309_221853.fits   2016/03/09T22:18:53       1         9      0.05
            NUV20160309_221905.fits   2016/03/09T22:19:05       1        63      1.02
            NUV20160309_221922.fits   2016/03/09T22:19:22       1        64      5.02
            NUV20160309_222008.fits   2016/03/09T22:20:08       1       128     30.02
            NUV20160309_222353.fits   2016/03/09T22:23:53       0      1669      0.05
            NUV20160309_222405.fits   2016/03/09T22:24:05       0      3546      1.02
            NUV20160309_222422.fits   2016/03/09T22:24:22       0      1533      5.02
            NUV20160309_222508.fits   2016/03/09T22:25:08       0       502     30.02
            NUV20160309_222853.fits   2016/03/09T22:28:53       1       119      0.05
            NUV20160309_222905.fits   2016/03/09T22:29:05       1       170      1.02
            NUV20160309_222922.fits   2016/03/09T22:29:22       1        85      5.02
            NUV20160309_223008.fits   2016/03/09T22:30:08       1        38     30.02
            NUV20160309_223353.fits   2016/03/09T22:33:53       1        11      0.05
            NUV20160309_223405.fits   2016/03/09T22:34:05       1        32      1.02
            NUV20160309_223422.fits   2016/03/09T22:34:22       1        41      5.02
            NUV20160309_223508.fits   2016/03/09T22:35:08       1        53     30.02
            NUV20160309_223853.fits   2016/03/09T22:38:53       1        79      0.05
            NUV20160309_223905.fits   2016/03/09T22:39:05       1       124      1.02
            NUV20160309_223922.fits   2016/03/09T22:39:22       1       107      5.02
            NUV20160309_224008.fits   2016/03/09T22:40:08       1        40     30.02
            NUV20160309_224353.fits   2016/03/09T22:43:53       1        38      0.05
            NUV20160309_224405.fits   2016/03/09T22:44:05       1       140      1.02
            NUV20160309_224422.fits   2016/03/09T22:44:22       1        92      5.02
            NUV20160309_224508.fits   2016/03/09T22:45:08       1        60     30.02
            NUV20160309_224853.fits   2016/03/09T22:48:53       1        33      0.05
            NUV20160309_224905.fits   2016/03/09T22:49:05       1        82      1.02
            NUV20160309_224922.fits   2016/03/09T22:49:22       1        46      5.02
            NUV20160309_225008.fits   2016/03/09T22:50:08       1        37     30.02
            NUV20160309_225353.fits   2016/03/09T22:53:53       1        59      0.05
            NUV20160309_225405.fits   2016/03/09T22:54:05       1        76      1.02
            NUV20160309_225422.fits   2016/03/09T22:54:22       1        68      5.02
            NUV20160309_225508.fits   2016/03/09T22:55:08       1        48     30.02
            NUV20160309_225853.fits   2016/03/09T22:58:53       1        34      0.05
            NUV20160309_225905.fits   2016/03/09T22:59:05       1        64      1.02
            NUV20160309_225922.fits   2016/03/09T22:59:22       1        46      5.02
            NUV20160309_230008.fits   2016/03/09T23:00:08       1        44     30.02
            NUV20160309_230353.fits   2016/03/09T23:03:53       1        23      0.05
            NUV20160309_230405.fits   2016/03/09T23:04:05       1        25      1.02
            NUV20160309_230422.fits   2016/03/09T23:04:22       1        37      5.02
            NUV20160309_230508.fits   2016/03/09T23:05:08       1        52     30.02
            NUV20160309_230853.fits   2016/03/09T23:08:53       1        13      0.05
            NUV20160309_230905.fits   2016/03/09T23:09:05       1         9      1.02
            NUV20160309_230922.fits   2016/03/09T23:09:22       1        31      5.02
            NUV20160309_231008.fits   2016/03/09T23:10:08       1        61     30.02
            NUV20160309_231353.fits   2016/03/09T23:13:53       1        13      0.05
            NUV20160309_231405.fits   2016/03/09T23:14:05       1        25      1.02
            NUV20160309_231422.fits   2016/03/09T23:14:22       1        38      5.02
            NUV20160309_231508.fits   2016/03/09T23:15:08       1        30     30.02
            NUV20160309_231853.fits   2016/03/09T23:18:53       1        11      0.05
            NUV20160309_231905.fits   2016/03/09T23:19:05       1        27      1.02
            NUV20160309_231922.fits   2016/03/09T23:19:22       1        49      5.02
            NUV20160309_232008.fits   2016/03/09T23:20:08       1        57     30.02
            NUV20160309_232353.fits   2016/03/09T23:23:53       1        43      0.05
            NUV20160309_232405.fits   2016/03/09T23:24:05       1        88      1.02
            NUV20160309_232422.fits   2016/03/09T23:24:22       1        61      5.02
            NUV20160309_232508.fits   2016/03/09T23:25:08       1        59     30.02
