#2017/06 Number Pass = 76 (100.000%)
                               file                  time    pass    total5   exptime
            NUV20170614_233028.fits   2017/06/14T23:30:28       1        58      0.05
            NUV20170614_233049.fits   2017/06/14T23:30:49       1       142      1.03
            NUV20170614_233056.fits   2017/06/14T23:30:56       1        57      5.02
            NUV20170614_233144.fits   2017/06/14T23:31:44       1        72     30.02
            NUV20170614_233521.fits   2017/06/14T23:35:21       1        42      0.07
            NUV20170614_233542.fits   2017/06/14T23:35:42       1        79      1.02
            NUV20170614_233556.fits   2017/06/14T23:35:56       1        92      5.02
            NUV20170614_233646.fits   2017/06/14T23:36:46       1        51     30.02
            NUV20170614_234021.fits   2017/06/14T23:40:21       1        28      0.05
            NUV20170614_234049.fits   2017/06/14T23:40:49       1       116      1.02
            NUV20170614_234056.fits   2017/06/14T23:40:56       1        68      5.02
            NUV20170614_234145.fits   2017/06/14T23:41:45       1        47     30.02
            NUV20170614_234528.fits   2017/06/14T23:45:28       1        18      0.06
            NUV20170614_234543.fits   2017/06/14T23:45:43       1        73      1.05
            NUV20170614_234556.fits   2017/06/14T23:45:56       1        98      5.02
            NUV20170614_234644.fits   2017/06/14T23:46:44       1        61     30.02
            NUV20170614_235020.fits   2017/06/14T23:50:20       1        20      0.08
            NUV20170614_235049.fits   2017/06/14T23:50:49       1        31      1.02
            NUV20170614_235055.fits   2017/06/14T23:50:55       1        38      5.02
            NUV20170614_235146.fits   2017/06/14T23:51:46       1        34     30.02
            NUV20170614_235528.fits   2017/06/14T23:55:28       1        19      0.05
            NUV20170614_235541.fits   2017/06/14T23:55:41       1        30      1.02
            NUV20170614_235555.fits   2017/06/14T23:55:55       1        40      5.02
            NUV20170614_235645.fits   2017/06/14T23:56:45       1        54     30.02
            NUV20170615_000020.fits   2017/06/15T00:00:20       1        28      0.08
            NUV20170615_000041.fits   2017/06/15T00:00:41       1        21      1.05
            NUV20170615_000056.fits   2017/06/15T00:00:56       1        39      5.02
            NUV20170615_000145.fits   2017/06/15T00:01:45       1        34     30.02
            NUV20170615_000521.fits   2017/06/15T00:05:21       1        34      0.05
            NUV20170615_000543.fits   2017/06/15T00:05:43       1        39      1.05
            NUV20170615_000556.fits   2017/06/15T00:05:56       1        71      5.02
            NUV20170615_000644.fits   2017/06/15T00:06:44       1        52     30.02
            NUV20170615_001021.fits   2017/06/15T00:10:21       1        28      0.06
            NUV20170615_001043.fits   2017/06/15T00:10:43       1        76      1.05
            NUV20170615_001057.fits   2017/06/15T00:10:57       1        65      5.02
            NUV20170615_001144.fits   2017/06/15T00:11:44       1        51     30.02
            NUV20170615_001523.fits   2017/06/15T00:15:23       1        47      0.11
            NUV20170615_001544.fits   2017/06/15T00:15:44       1       128      1.05
            NUV20170615_001555.fits   2017/06/15T00:15:55       1        94      5.02
            NUV20170615_001643.fits   2017/06/15T00:16:43       1        55     30.02
            NUV20170615_002021.fits   2017/06/15T00:20:21       1        39      0.05
            NUV20170615_002049.fits   2017/06/15T00:20:49       1        96      1.02
            NUV20170615_002056.fits   2017/06/15T00:20:56       1        69      5.02
            NUV20170615_002146.fits   2017/06/15T00:21:46       1        52     30.02
            NUV20170615_002529.fits   2017/06/15T00:25:29       1        30      0.05
            NUV20170615_002540.fits   2017/06/15T00:25:40       1       112      1.04
            NUV20170615_002555.fits   2017/06/15T00:25:55       1        74      5.02
            NUV20170615_002646.fits   2017/06/15T00:26:46       1        41     30.02
            NUV20170615_003028.fits   2017/06/15T00:30:28       1        44      0.05
            NUV20170615_003041.fits   2017/06/15T00:30:41       1        81      1.02
            NUV20170615_003056.fits   2017/06/15T00:30:56       1        42      5.02
            NUV20170615_003145.fits   2017/06/15T00:31:45       1        46     30.02
            NUV20170615_003528.fits   2017/06/15T00:35:28       1        17      0.05
            NUV20170615_003549.fits   2017/06/15T00:35:49       1        21      1.04
            NUV20170615_003555.fits   2017/06/15T00:35:55       1        52      5.02
            NUV20170615_003644.fits   2017/06/15T00:36:44       1        30     30.02
            NUV20170615_004029.fits   2017/06/15T00:40:29       1         9      0.05
            NUV20170615_004049.fits   2017/06/15T00:40:49       1        22      1.03
            NUV20170615_004055.fits   2017/06/15T00:40:55       1        47      5.02
            NUV20170615_004143.fits   2017/06/15T00:41:43       1        54     30.02
            NUV20170615_004528.fits   2017/06/15T00:45:28       1         5      0.05
            NUV20170615_004543.fits   2017/06/15T00:45:43       1        31      1.04
            NUV20170615_004555.fits   2017/06/15T00:45:55       1        46      5.02
            NUV20170615_004646.fits   2017/06/15T00:46:46       1        60     30.02
            NUV20170615_005021.fits   2017/06/15T00:50:21       1        12      0.05
            NUV20170615_005043.fits   2017/06/15T00:50:43       1        64      1.05
            NUV20170615_005055.fits   2017/06/15T00:50:55       1        58      5.02
            NUV20170615_005145.fits   2017/06/15T00:51:45       1        58     30.02
            NUV20170615_005521.fits   2017/06/15T00:55:21       1        23      0.05
            NUV20170615_005540.fits   2017/06/15T00:55:40       1        51      1.03
            NUV20170615_005555.fits   2017/06/15T00:55:55       1        58      5.02
            NUV20170615_005643.fits   2017/06/15T00:56:43       1        44     30.02
            NUV20170615_010028.fits   2017/06/15T01:00:28       1        43      0.05
            NUV20170615_010040.fits   2017/06/15T01:00:40       1       105      1.05
            NUV20170615_010055.fits   2017/06/15T01:00:55       1        64      5.02
            NUV20170615_010144.fits   2017/06/15T01:01:44       1        61     30.02
