#2015/02 Number Pass = 44 (100.000%)
                               file                  time    pass    total5   exptime
            FUV20150211_133528.fits   2015/02/11T13:35:28       1        11      0.13
            FUV20150211_133541.fits   2015/02/11T13:35:41       1        53      1.03
            FUV20150211_133602.fits   2015/02/11T13:36:02       1        57      5.02
            FUV20150211_133713.fits   2015/02/11T13:37:13       1        51     30.02
            FUV20150211_134028.fits   2015/02/11T13:40:28       1        10      0.13
            FUV20150211_134041.fits   2015/02/11T13:40:41       1        27      1.03
            FUV20150211_134102.fits   2015/02/11T13:41:02       1        43      5.02
            FUV20150211_134213.fits   2015/02/11T13:42:13       1        42     30.02
            FUV20150211_134528.fits   2015/02/11T13:45:28       1        10      0.13
            FUV20150211_134541.fits   2015/02/11T13:45:41       1        32      1.03
            FUV20150211_134602.fits   2015/02/11T13:46:02       1        47      5.02
            FUV20150211_134713.fits   2015/02/11T13:47:13       1        43     30.02
            FUV20150211_135028.fits   2015/02/11T13:50:28       1        11      0.13
            FUV20150211_135041.fits   2015/02/11T13:50:41       1        40      1.03
            FUV20150211_135102.fits   2015/02/11T13:51:02       1        47      5.02
            FUV20150211_135213.fits   2015/02/11T13:52:13       1        38     30.02
            FUV20150211_135528.fits   2015/02/11T13:55:28       1        15      0.13
            FUV20150211_135541.fits   2015/02/11T13:55:41       1        31      1.03
            FUV20150211_135602.fits   2015/02/11T13:56:02       1        70      5.02
            FUV20150211_135713.fits   2015/02/11T13:57:13       1        51     30.02
            FUV20150211_140028.fits   2015/02/11T14:00:28       1        39      0.13
            FUV20150211_140041.fits   2015/02/11T14:00:41       1       149      1.02
            FUV20150211_140102.fits   2015/02/11T14:01:02       1       108      5.02
            FUV20150211_140213.fits   2015/02/11T14:02:13       1        59     30.02
            FUV20150211_140528.fits   2015/02/11T14:05:28       1        27      0.13
            FUV20150211_140541.fits   2015/02/11T14:05:41       1        68      1.02
            FUV20150211_140602.fits   2015/02/11T14:06:02       1        75      5.02
            FUV20150211_140713.fits   2015/02/11T14:07:13       1        51     30.02
            FUV20150211_141028.fits   2015/02/11T14:10:28       1        29      0.13
            FUV20150211_141041.fits   2015/02/11T14:10:41       1        90      1.03
            FUV20150211_141102.fits   2015/02/11T14:11:02       1        80      5.02
            FUV20150211_141213.fits   2015/02/11T14:12:13       1        46     30.02
            FUV20150211_141528.fits   2015/02/11T14:15:28       1        31      0.13
            FUV20150211_141541.fits   2015/02/11T14:15:41       1        74      1.02
            FUV20150211_141602.fits   2015/02/11T14:16:02       1        64      5.02
            FUV20150211_141713.fits   2015/02/11T14:17:13       1        45     30.02
            FUV20150211_142028.fits   2015/02/11T14:20:28       1        33      0.13
            FUV20150211_142041.fits   2015/02/11T14:20:41       1        58      1.03
            FUV20150211_142102.fits   2015/02/11T14:21:02       1        63      5.02
            FUV20150211_142213.fits   2015/02/11T14:22:13       1        51     30.02
            FUV20150211_142528.fits   2015/02/11T14:25:28       1        22      0.13
            FUV20150211_142541.fits   2015/02/11T14:25:41       1        23      1.03
            FUV20150211_142602.fits   2015/02/11T14:26:02       1        56      5.02
            FUV20150211_142713.fits   2015/02/11T14:27:13       1        47     30.02
