#2015/05 Number Pass = 71 (94.6667%)
                               file                  time    pass    total5   exptime
            NUV20150506_061537.fits   2015/05/06T06:15:37       1        37      0.11
            NUV20150506_061549.fits   2015/05/06T06:15:49       1        75      1.05
            NUV20150506_061606.fits   2015/05/06T06:16:06       1        46      5.02
            NUV20150506_061652.fits   2015/05/06T06:16:52       1        42     30.02
            NUV20150506_062049.fits   2015/05/06T06:20:49       1        30      1.02
            NUV20150506_062106.fits   2015/05/06T06:21:06       1        39      5.02
            NUV20150506_062152.fits   2015/05/06T06:21:52       1        27     30.02
            NUV20150506_062537.fits   2015/05/06T06:25:37       1        11      0.05
            NUV20150506_062549.fits   2015/05/06T06:25:49       1        15      1.02
            NUV20150506_062606.fits   2015/05/06T06:26:06       1        31      5.02
            NUV20150506_062652.fits   2015/05/06T06:26:52       1        38     30.02
            NUV20150506_063037.fits   2015/05/06T06:30:37       1        11      0.05
            NUV20150506_063049.fits   2015/05/06T06:30:49       1        24      1.02
            NUV20150506_063106.fits   2015/05/06T06:31:06       1        30      5.02
            NUV20150506_063152.fits   2015/05/06T06:31:52       1        40     30.02
            NUV20150506_063537.fits   2015/05/06T06:35:37       1        16      0.05
            NUV20150506_063549.fits   2015/05/06T06:35:49       1        24      1.02
            NUV20150506_063606.fits   2015/05/06T06:36:06       1        29      5.02
            NUV20150506_063652.fits   2015/05/06T06:36:52       1        44     30.02
            NUV20150506_064037.fits   2015/05/06T06:40:37       1         8      0.05
            NUV20150506_064049.fits   2015/05/06T06:40:49       1        26      1.02
            NUV20150506_064106.fits   2015/05/06T06:41:06       1        62      5.02
            NUV20150506_064152.fits   2015/05/06T06:41:52       1        39     30.02
            NUV20150506_064537.fits   2015/05/06T06:45:37       1        33      0.05
            NUV20150506_064549.fits   2015/05/06T06:45:49       1        49      1.02
            NUV20150506_064606.fits   2015/05/06T06:46:06       1        75      5.02
            NUV20150506_064652.fits   2015/05/06T06:46:52       1        44     30.02
            NUV20150506_065037.fits   2015/05/06T06:50:37       1        20      0.05
            NUV20150506_065049.fits   2015/05/06T06:50:49       1        63      1.02
            NUV20150506_065106.fits   2015/05/06T06:51:06       1        54      5.02
            NUV20150506_065152.fits   2015/05/06T06:51:52       1        44     30.02
            NUV20150506_065537.fits   2015/05/06T06:55:37       1       152      0.05
            NUV20150506_065549.fits   2015/05/06T06:55:49       1        73      1.02
            NUV20150506_065606.fits   2015/05/06T06:56:06       1        55      5.02
            NUV20150506_065652.fits   2015/05/06T06:56:52       1        44     30.02
            NUV20150506_070037.fits   2015/05/06T07:00:37       1        63      0.05
            NUV20150506_070049.fits   2015/05/06T07:00:49       1        62      1.02
            NUV20150506_070106.fits   2015/05/06T07:01:06       1        65      5.02
            NUV20150506_070152.fits   2015/05/06T07:01:52       1        62     30.02
            NUV20150506_070537.fits   2015/05/06T07:05:37       1        52      0.05
            NUV20150506_070549.fits   2015/05/06T07:05:49       1       139      1.02
            NUV20150506_070606.fits   2015/05/06T07:06:06       1        51      5.02
            NUV20150506_070652.fits   2015/05/06T07:06:52       1        38     30.02
            NUV20150506_071037.fits   2015/05/06T07:10:37       1       107      0.05
            NUV20150506_071049.fits   2015/05/06T07:10:49       1       247      1.02
            NUV20150506_071106.fits   2015/05/06T07:11:06       1       246      5.02
            NUV20150506_071152.fits   2015/05/06T07:11:52       1       270     30.02
            NUV20150506_071537.fits   2015/05/06T07:15:37       0      1810      0.05
            NUV20150506_071549.fits   2015/05/06T07:15:49       0      3719      1.02
            NUV20150506_071606.fits   2015/05/06T07:16:06       0      1659      5.02
            NUV20150506_071652.fits   2015/05/06T07:16:52       0       536     30.02
            NUV20150506_072037.fits   2015/05/06T07:20:37       1        50      0.05
            NUV20150506_072049.fits   2015/05/06T07:20:49       1        79      1.02
            NUV20150506_072106.fits   2015/05/06T07:21:06       1        70      5.02
            NUV20150506_072152.fits   2015/05/06T07:21:52       1        40     30.02
            NUV20150506_072537.fits   2015/05/06T07:25:37       1        13      0.05
            NUV20150506_072549.fits   2015/05/06T07:25:49       1        19      1.02
            NUV20150506_072606.fits   2015/05/06T07:26:06       1        24      5.02
            NUV20150506_072652.fits   2015/05/06T07:26:52       1        39     30.02
            NUV20150506_073037.fits   2015/05/06T07:30:37       1        10      0.05
            NUV20150506_073049.fits   2015/05/06T07:30:49       1        17      1.02
            NUV20150506_073106.fits   2015/05/06T07:31:06       1        28      5.02
            NUV20150506_073152.fits   2015/05/06T07:31:52       1        40     30.02
            NUV20150506_073537.fits   2015/05/06T07:35:37       1        17      0.05
            NUV20150506_073549.fits   2015/05/06T07:35:49       1        38      1.02
            NUV20150506_073606.fits   2015/05/06T07:36:06       1        72      5.02
            NUV20150506_073652.fits   2015/05/06T07:36:52       1        32     30.02
            NUV20150506_074037.fits   2015/05/06T07:40:37       1        15      0.05
            NUV20150506_074049.fits   2015/05/06T07:40:49       1        73      1.02
            NUV20150506_074106.fits   2015/05/06T07:41:06       1        46      5.02
            NUV20150506_074152.fits   2015/05/06T07:41:52       1        46     30.02
            NUV20150506_074537.fits   2015/05/06T07:45:37       1        17      0.05
            NUV20150506_074549.fits   2015/05/06T07:45:49       1        42      1.02
            NUV20150506_074606.fits   2015/05/06T07:46:06       1        69      5.02
            NUV20150506_074652.fits   2015/05/06T07:46:52       1        50     30.02
