#2015/11 Number Pass = 41 (93.1818%)
                               file                  time    pass    total5   exptime
            NUV20151118_131521.fits   2015/11/18T13:15:21       1        15      0.06
            NUV20151118_131533.fits   2015/11/18T13:15:33       1        17      1.03
            NUV20151118_131550.fits   2015/11/18T13:15:50       1        39      5.02
            NUV20151118_131636.fits   2015/11/18T13:16:36       1        49     30.02
            NUV20151118_132021.fits   2015/11/18T13:20:21       1        13      0.05
            NUV20151118_132033.fits   2015/11/18T13:20:33       1        28      1.02
            NUV20151118_132050.fits   2015/11/18T13:20:50       1        38      5.02
            NUV20151118_132136.fits   2015/11/18T13:21:36       1        54     30.02
            NUV20151118_132521.fits   2015/11/18T13:25:21       1        26      0.05
            NUV20151118_132533.fits   2015/11/18T13:25:33       1        54      1.02
            NUV20151118_132550.fits   2015/11/18T13:25:50       1        51      5.02
            NUV20151118_132636.fits   2015/11/18T13:26:36       1        49     30.02
            NUV20151118_133021.fits   2015/11/18T13:30:21       1       264      0.05
            NUV20151118_133033.fits   2015/11/18T13:30:33       0       647      1.02
            NUV20151118_133050.fits   2015/11/18T13:30:50       0       317      5.02
            NUV20151118_133136.fits   2015/11/18T13:31:36       1       117     30.02
            NUV20151118_133521.fits   2015/11/18T13:35:21       1        29      0.05
            NUV20151118_133533.fits   2015/11/18T13:35:33       1        74      1.02
            NUV20151118_133550.fits   2015/11/18T13:35:50       1        68      5.02
            NUV20151118_133636.fits   2015/11/18T13:36:36       1        57     30.02
            NUV20151118_134021.fits   2015/11/18T13:40:21       1        12      0.05
            NUV20151118_134033.fits   2015/11/18T13:40:33       1       107      1.03
            NUV20151118_134050.fits   2015/11/18T13:40:50       1        68      5.02
            NUV20151118_134136.fits   2015/11/18T13:41:36       1        36     30.02
            NUV20151118_134521.fits   2015/11/18T13:45:21       1       130      0.05
            NUV20151118_134533.fits   2015/11/18T13:45:33       0       352      1.02
            NUV20151118_134550.fits   2015/11/18T13:45:50       1       153      5.02
            NUV20151118_134636.fits   2015/11/18T13:46:36       1        65     30.02
            NUV20151118_135021.fits   2015/11/18T13:50:21       1        22      0.05
            NUV20151118_135033.fits   2015/11/18T13:50:33       1        46      1.02
            NUV20151118_135050.fits   2015/11/18T13:50:50       1        51      5.02
            NUV20151118_135136.fits   2015/11/18T13:51:36       1        39     30.02
            NUV20151118_135521.fits   2015/11/18T13:55:21       1         6      0.05
            NUV20151118_135533.fits   2015/11/18T13:55:33       1        21      1.02
            NUV20151118_135550.fits   2015/11/18T13:55:50       1        50      5.02
            NUV20151118_135636.fits   2015/11/18T13:56:36       1        18     30.02
            NUV20151118_140021.fits   2015/11/18T14:00:21       1         6      0.05
            NUV20151118_140033.fits   2015/11/18T14:00:33       1        21      1.02
            NUV20151118_140050.fits   2015/11/18T14:00:50       1        65      5.02
            NUV20151118_140136.fits   2015/11/18T14:01:36       1        70     30.02
            NUV20151118_140521.fits   2015/11/18T14:05:21       1        14      0.05
            NUV20151118_140533.fits   2015/11/18T14:05:33       1        29      1.02
            NUV20151118_140550.fits   2015/11/18T14:05:50       1        56      5.02
            NUV20151118_140636.fits   2015/11/18T14:06:36       1        49     30.02
